L,D,speed_U,Re,nose_shape_c,tail_taper_c,fin_area_ratio,AoA_deg,depth_m,BC_U_mag,BC_TI,BC_Lt,k,omega,Cd
66.4373629133578,6.072149078264366,13.161772958847973,853613641.729959,0.6881576203415547,0.27063301091573716,0.14634335274551338,1.5668382119421178,237.9586485303166,13.156851879377639,0.023332096953947886,3.84371590179797,0.1413522659067516,0.17858273896469642,0.008111451547004196
47.02315627373403,5.595586169628069,14.047944855031824,644850641.8086033,0.6507055840564652,0.8170712099531225,0.06651212982409967,-1.6365676692913387,170.82958823459208,14.042214573754325,0.021044155778961075,2.1421358225168166,0.13098618250077027,0.3084644441419417,0.005222703200924053
69.65787031955492,7.421650793854454,11.855140621109859,806141851.6242784,0.4481681776909079,0.9280235182961774,0.13396816819832966,1.670300982442571,66.44522527707059,11.850103409856048,0.022548501614052606,2.860640746200268,0.10709542401890944,0.20886299901663702,0.006004876667730063
22.628225947233727,4.080026444472835,10.87963639215191,240325278.3504707,0.721333509135472,0.9256322993256576,0.04887380372072279,-0.7772417637907867,146.1711852699843,10.878635367626568,0.018935745175807775,0.9731282346270175,0.06365095155491735,0.4733384119975989,0.00445775848252778
27.7952903201283,6.329934483581536,4.949821537661494,134305971.27516973,0.6688697962777572,0.5278639391542481,0.12490172940867561,1.2015906120134945,100.58632600079191,4.948733080311821,0.021873572953464683,1.438997892342648,0.01757594871944653,0.16820488453078708,0.007034403425840292
68.28586144980811,5.712348653211221,5.748265351093173,383179412.0238267,0.6777468527824828,0.30481436270698237,0.029986230371266246,-2.955826381493967,238.20806947562014,5.740617788022367,0.024654286040134227,4.134274821185066,0.030046465031532764,0.07654850661180086,0.008242993033117284
62.30992271758011,8.465103217153775,7.96590508199842,484536955.51025975,0.5981188371670256,0.3048477485957431,0.017179511030396017,1.01041777074283,146.61789978150844,7.964666426419876,0.023504990656093856,3.796936146616966,0.052571044750577306,0.1102501992319099,0.006483448614190494
65.89993144496154,7.443028240004136,9.196532208553947,591621060.1209172,0.5914450125217895,0.42796257354695916,0.004622675185190911,-0.3796956646058258,72.22955511766347,9.196330270334306,0.02232543267165313,3.8144824998831104,0.06322955821506505,0.12035491197157483,0.0058483713870342595
71.20418439608997,4.637576401057386,2.7579356419578582,191700925.66912287,0.39696872441539754,0.4201953183250127,0.09928747720903426,0.34219291404767027,237.33048064085992,2.7578864550410627,0.024271529078268628,3.940692428187433,0.00672106812236904,0.03798271299116497,0.007312083773472293
44.38321168640423,8.698142692662243,4.170647958800151,180699447.62430406,0.21589845119370235,0.2675358955817313,0.10835390258946755,-0.2287366184916757,56.76881591974452,4.1706147235395425,0.026732072628645995,2.624044131670864,0.01864475444597986,0.09500502396367663,0.008548505610912043
29.138726162790107,7.874242625544152,7.800031582462399,221871484.71528417,0.4667148582675377,0.4261340668609074,0.09454238896783326,-0.8291243366796577,35.41847660166929,7.7992149007181935,0.024031305419699743,1.6120502202251448,0.052692373230284265,0.2599768546204098,0.007268978857387296
77.71385987297087,9.36006483495325,11.096192739539743,841796349.4058763,0.3861089730216637,0.926882283010793,0.11681263559486918,1.301341134953974,140.3148356216987,11.093330787331475,0.02280583998968337,3.223155581581325,0.09600797978772622,0.17551400198255473,0.005676820112600485
25.783457729209957,9.318216775806892,7.925091767836944,199471119.3438448,0.3416543553566612,0.4294674681129894,0.0868829353412844,-1.9393633023646097,258.4181423867889,7.92055228977876,0.02637548240823305,1.429857633715576,0.0654640716035112,0.3266992074522681,0.008362982601736221
63.16777735705621,6.024651278425726,10.155014929131761,626196633.4795252,0.6088685782389149,0.687384951166115,0.012666648170983364,-0.5051555869763424,22.06811041994882,10.154620242139362,0.02097954504875662,3.18566375194695,0.06807862321213042,0.14953567684627242,0.004994201012143517
39.79167273996712,4.011669322062328,3.3442385803931716,129904446.03263025,0.6113512005243984,0.3279447264026646,0.13876801775651956,0.48636683820237003,110.59224331510275,3.344118091421953,0.022733131200945063,2.252120434825131,0.008669079518099901,0.07548041072737184,0.007817438319883904
21.36823226178185,9.709914492690118,8.269944680257703,172506620.17888543,0.7479146590752004,0.26204749994182897,0.07299874962572404,-0.05575803387287426,281.96967194274504,8.269940764261946,0.021266373943411725,1.29011817109188,0.0463962573787561,0.3048255421473771,0.007275812330333095
48.40936406341723,4.868829641643255,6.310396965453179,298208915.89279896,0.5644706817300764,0.5291835952287851,0.003241811982049564,1.957751545166147,269.8866238335323,6.3067135193844175,0.023667126751721453,2.6670370925590374,0.033418622147411446,0.12514243086513788,0.006262968136817717
53.242168612342965,3.7600301879481046,10.739121209517553,558160433.0858668,0.39686364868730584,0.6945669760189264,0.1090491921430324,1.6118849515059424,41.24487432721,10.734871757581008,0.02417041358453825,2.544751536399239,0.10098413359230898,0.22799249921399994,0.0065760867588708525
